"cytoRiskIntermediate"	"cytoRiskPoor"	"AveExpr"	"F"	"P.Value"	"adj.P.Val"
"HOXB3|3213_calculated"	2.56287594086129	0.878724559825374	4.62686173520433	30.656239949829	3.75595313069022e-12	6.05829181991412e-10
"TDRD9|122402_calculated"	-1.59336989422	-1.46216915751805	5.93183753197953	30.6120840647787	3.88105798606272e-12	6.16451878544149e-10
"RTN4R|65078_calculated"	-1.502365084526	-1.26540066361141	4.42695973892419	30.6112529721154	3.88345266219503e-12	6.16451878544149e-10
"AVEN|57099_calculated"	-0.602059198208175	-0.735645586267528	2.96233685226232	30.4691747426776	4.31560154410379e-12	6.79656271524566e-10
"SSC5D|284297|1of2_calculated"	-0.377508119388814	-0.37654494626103	4.98485963452141	30.2934817009124	4.9179278154198e-12	7.68464642470402e-10
"FAM38B|63895_calculated"	0.869096844087193	0.703670612466411	2.77384288644384	30.2242756064448	5.17792392274372e-12	8.02819041696101e-10
"TTYH3|80727_calculated"	1.12620831686904	0.525729269015072	2.11928532699152	30.2115162643562	5.2273555264623e-12	8.04248752959788e-10
"RETN|56729_calculated"	-2.43778852200709	-1.52404379081379	3.45890905423461	30.1034964783688	5.66543803510416e-12	8.64995619390217e-10
"NUB1|51667_calculated"	0.250777652037334	-0.209656766524427	7.05077655420626	30.0891467377231	5.72636431704895e-12	8.67674338676485e-10
"ANKFY1|51479_calculated"	-0.56183365648633	-0.769445508491937	3.7279927487088	30.01189793208	6.06591940296151e-12	9.12213939688971e-10
"SND1|27044_calculated"	-0.207708970105997	-0.585058898647635	5.11110284674095	29.8967603597408	6.61021010372337e-12	9.81865635781086e-10
"ESAM|90952_calculated"	-1.22479985082366	-0.0226147216611112	8.51797949296595	29.8807463608565	6.68973073954538e-12	9.81865635781086e-10
"STARD10|10809_calculated"	0.381886694279763	0.841693737247836	6.37827106639314	29.8789111823152	6.69890525101746e-12	9.81865635781086e-10
"ELANE|1991_calculated"	-3.80348228089641	-4.40485070392749	11.6746846435629	29.8736170426245	6.72544333293379e-12	9.81865635781086e-10
"GATAD1|57798_calculated"	0.213069131218559	-0.295095993421915	2.29017975268753	29.8159216405682	7.02164125517197e-12	1.0176800488746e-09
"JAKMIP2|9832_calculated"	0.602590785368679	1.08431099670386	2.18589412271944	29.7877165292211	7.17120864311985e-12	1.03188017317295e-09
"KIAA1549|57670_calculated"	-0.744491902421447	-1.09015516090001	3.71427395906632	29.7745694015119	7.24202286024139e-12	1.03462642305491e-09
